TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
TOR,01/13/2019,TOR @ WAS,W,290,140,49,104,47.1,13,36,36.1,29,36,80.6,17,42,59,24,16,8,21,27,2
TOR,11/29/2018,TOR vs. GSW,W,265,131,47,90,52.2,15,38,39.5,22,24,91.7,7,30,37,25,5,6,14,23,3
TOR,02/13/2019,TOR vs. WAS,W,241,129,44,92,47.8,16,38,42.1,25,30,83.3,9,43,52,32,8,8,14,27,9
TOR,10/30/2018,TOR vs. PHI,W,240,129,47,92,51.1,11,27,40.7,24,28,85.7,9,34,43,29,13,6,15,26,17
TOR,03/18/2019,TOR vs. NYK,W,240,128,49,88,55.7,17,40,42.5,13,22,59.1,5,45,50,36,5,6,14,22,36
TOR,11/10/2018,TOR vs. NYK,W,239,128,42,79,53.2,14,35,40,30,40,75,12,34,46,24,8,4,15,20,16
TOR,03/08/2019,TOR @ NOP,W,240,127,53,99,53.5,13,37,35.1,8,9,88.9,7,44,51,31,10,12,16,14,23
TOR,02/11/2019,TOR vs. BKN,W,240,127,50,92,54.3,9,31,29,18,20,90,5,35,40,32,12,3,13,16,2
TOR,10/22/2018,TOR vs. CHA,W,241,127,50,87,57.5,15,39,38.5,12,14,85.7,5,41,46,36,10,8,13,21,21
TOR,12/21/2018,TOR vs. CLE,W,239,126,48,91,52.7,9,31,29,21,26,80.8,13,31,44,21,9,5,8,23,16
TOR,03/10/2019,TOR @ MIA,W,239,125,42,74,56.8,21,40,52.5,20,26,76.9,6,38,44,32,8,8,19,23,21
TOR,11/25/2018,TOR vs. MIA,W,240,125,47,90,52.2,11,35,31.4,20,25,80,11,36,47,25,4,7,9,21,10
TOR,11/23/2018,TOR vs. WAS,W,240,125,46,93,49.5,17,39,43.6,16,19,84.2,13,37,50,32,5,6,15,23,18
TOR,03/30/2019,TOR @ CHI,W,240,124,46,89,51.7,18,38,47.4,14,18,77.8,6,41,47,35,10,4,11,15,23
TOR,11/21/2018,TOR @ ATL,W,240,124,48,90,53.3,11,29,37.9,17,23,73.9,14,41,55,33,6,1,17,21,16
TOR,11/05/2018,TOR @ UTA,W,241,124,49,86,57,13,33,39.4,13,14,92.9,7,36,43,21,9,3,14,28,13
TOR,03/20/2019,TOR @ OKC,W,265,123,45,87,51.7,14,36,38.9,19,21,90.5,6,46,52,30,11,5,17,27,9
TOR,01/27/2019,TOR @ DAL,W,240,123,37,83,44.6,17,34,50,32,38,84.2,8,36,44,24,6,5,7,27,3
TOR,01/05/2019,TOR @ MIL,W,240,123,42,82,51.2,14,31,45.2,25,31,80.6,4,34,38,28,9,6,11,22,7
TOR,12/11/2018,TOR @ LAC,W,240,123,50,96,52.1,14,29,48.3,9,12,75,10,33,43,34,8,6,7,22,24
TOR,01/11/2019,TOR vs. BKN,W,240,122,48,105,45.7,11,35,31.4,15,24,62.5,13,42,55,32,10,4,9,22,17
TOR,01/01/2019,TOR vs. UTA,W,239,122,45,82,54.9,7,20,35,25,35,71.4,5,40,45,18,4,6,9,21,6
TOR,12/14/2018,TOR @ POR,L,241,122,43,78,55.1,18,31,58.1,18,21,85.7,6,31,37,20,4,4,16,21,-6
TOR,11/27/2018,TOR @ MEM,W,240,122,42,69,60.9,18,33,54.5,20,28,71.4,4,27,31,25,5,5,15,18,8
TOR,11/17/2018,TOR @ CHI,W,240,122,48,89,53.9,14,35,40,12,13,92.3,8,46,54,31,14,10,23,24,39
TOR,04/01/2019,TOR vs. ORL,W,240,121,42,84,50,19,37,51.4,18,22,81.8,6,33,39,31,9,8,14,20,12
TOR,02/03/2019,TOR vs. LAC,W,240,121,43,94,45.7,9,33,27.3,26,31,83.9,16,40,56,21,10,5,14,28,18
TOR,01/06/2019,TOR vs. IND,W,240,121,44,85,51.8,17,33,51.5,16,17,94.1,8,33,41,30,9,4,15,21,16
TOR,11/04/2018,TOR @ LAL,W,240,121,49,98,50,10,35,28.6,13,14,92.9,13,36,49,32,9,4,12,24,14
TOR,04/09/2019,TOR @ MIN,W,240,120,46,88,52.3,16,37,43.2,12,17,70.6,7,47,54,24,10,5,18,17,20
TOR,02/22/2019,TOR vs. SAS,W,239,120,40,94,42.6,14,30,46.7,26,32,81.3,14,33,47,24,8,3,9,20,3
TOR,01/22/2019,TOR vs. SAC,W,239,120,40,91,44,16,40,40,24,35,68.6,12,34,46,25,7,5,16,21,15
TOR,03/01/2019,TOR vs. POR,W,240,119,45,81,55.6,10,28,35.7,19,21,90.5,2,30,32,29,9,6,14,17,2
TOR,02/07/2019,TOR @ ATL,W,239,119,40,87,46,13,40,32.5,26,33,78.8,12,38,50,29,6,2,8,23,18
TOR,02/05/2019,TOR @ PHI,W,239,119,41,89,46.1,11,31,35.5,26,32,81.3,15,27,42,27,12,0,10,27,12
TOR,01/25/2019,TOR @ HOU,L,243,119,44,91,48.4,14,36,38.9,17,18,94.4,12,35,47,27,4,1,19,25,-2
TOR,01/19/2019,TOR vs. MEM,W,240,119,44,90,48.9,17,36,47.2,14,16,87.5,8,29,37,31,19,8,10,17,29
TOR,02/26/2019,TOR vs. BOS,W,241,118,46,94,48.9,17,36,47.2,9,14,64.3,8,37,45,33,7,5,8,24,23
TOR,04/07/2019,TOR vs. MIA,W,264,117,39,87,44.8,16,41,39,23,27,85.2,4,43,47,26,7,5,11,17,8
TOR,03/28/2019,TOR @ NYK,W,240,117,40,89,44.9,20,47,42.6,17,22,77.3,6,38,44,32,8,6,8,28,25
TOR,10/20/2018,TOR @ WAS,W,240,117,39,88,44.3,10,29,34.5,29,36,80.6,14,38,52,21,5,5,17,29,4
TOR,11/16/2018,TOR @ BOS,L,265,116,42,97,43.3,8,29,27.6,24,29,82.8,11,32,43,20,12,4,13,23,-7
TOR,10/26/2018,TOR vs. DAL,W,239,116,44,91,48.4,11,27,40.7,17,20,85,12,38,50,23,10,5,12,22,9
TOR,10/17/2018,TOR vs. CLE,W,239,116,45,92,48.9,14,33,42.4,12,20,60,8,35,43,21,6,7,9,29,12
TOR,04/03/2019,TOR @ BKN,W,239,115,44,105,41.9,15,38,39.5,12,14,85.7,17,35,52,29,9,1,7,16,10
TOR,03/24/2019,TOR vs. CHA,L,241,114,45,77,58.4,11,26,42.3,13,13,100,3,32,35,29,6,11,13,17,-1
TOR,11/07/2018,TOR @ SAC,W,239,114,41,89,46.1,11,36,30.6,21,23,91.3,13,40,53,17,10,4,20,20,9
TOR,12/12/2018,TOR @ GSW,W,241,113,44,91,48.4,9,28,32.1,16,19,84.2,10,38,48,27,12,3,11,17,20
TOR,12/05/2018,TOR vs. PHI,W,240,113,43,100,43,8,29,27.6,19,22,86.4,17,36,53,25,12,3,11,13,11
TOR,10/19/2018,TOR vs. BOS,W,239,113,43,92,46.7,13,35,37.1,14,19,73.7,12,37,49,24,3,3,12,19,12
TOR,03/26/2019,TOR vs. CHI,W,241,112,42,86,48.8,12,28,42.9,16,16,100,2,37,39,28,13,7,15,16,9
TOR,10/24/2018,TOR vs. MIN,W,239,112,46,89,51.7,11,32,34.4,9,12,75,11,33,44,26,9,8,16,18,7
TOR,04/05/2019,TOR @ CHA,L,241,111,43,80,53.8,9,26,34.6,16,20,80,5,38,43,27,2,5,14,17,-2
TOR,03/14/2019,TOR vs. LAL,W,238,111,36,91,39.6,16,41,39,23,29,79.3,13,39,52,21,15,6,17,20,13
TOR,01/17/2019,TOR vs. PHX,W,240,111,43,86,50,7,28,25,18,25,72,9,30,39,27,8,8,14,27,2
TOR,11/12/2018,TOR vs. NOP,L,241,110,39,97,40.2,13,45,28.9,19,22,86.4,13,30,43,22,9,5,10,20,-16
TOR,03/22/2019,TOR vs. OKC,L,240,109,39,78,50,13,25,52,18,21,85.7,11,35,46,20,7,7,21,24,-7
TOR,10/29/2018,TOR @ MIL,L,239,109,39,103,37.9,9,45,20,22,28,78.6,15,36,51,25,9,7,10,19,-15
TOR,01/16/2019,TOR @ BOS,L,240,108,41,92,44.6,7,29,24.1,19,21,90.5,14,28,42,20,9,2,10,14,-9
TOR,03/17/2019,TOR @ DET,L,240,107,39,82,47.6,18,36,50,11,14,78.6,7,31,38,25,2,2,12,22,-3
TOR,03/03/2019,TOR @ DET,L,265,107,37,96,38.5,14,39,35.9,19,24,79.2,18,32,50,22,8,3,15,28,-5
TOR,01/03/2019,TOR @ SAS,L,241,107,39,87,44.8,6,30,20,23,29,79.3,9,30,39,21,9,6,10,23,-18
TOR,11/02/2018,TOR @ PHX,W,241,107,41,81,50.6,12,33,36.4,13,21,61.9,6,33,39,29,11,10,13,23,9
TOR,01/23/2019,TOR @ IND,L,239,106,38,92,41.3,12,39,30.8,18,23,78.3,10,35,45,28,2,5,9,22,-4
TOR,12/26/2018,TOR @ MIA,W,239,106,37,79,46.8,13,30,43.3,19,23,82.6,10,33,43,19,8,2,16,16,2
TOR,12/01/2018,TOR @ CLE,W,241,106,39,80,48.8,7,26,26.9,21,25,84,6,36,42,15,5,5,10,19,11
TOR,12/07/2018,TOR @ BKN,L,266,105,35,89,39.3,11,35,31.4,24,29,82.8,6,35,41,25,9,7,15,19,-1
TOR,02/09/2019,TOR @ NYK,W,242,104,33,86,38.4,14,35,40,24,29,82.8,10,37,47,27,8,5,12,15,5
TOR,01/08/2019,TOR vs. ATL,W,239,104,37,80,46.3,10,32,31.3,20,27,74.1,6,33,39,26,18,7,18,20,3
TOR,11/14/2018,TOR vs. DET,L,240,104,45,92,48.9,4,20,20,10,17,58.8,12,37,49,23,9,3,20,19,-2
TOR,12/03/2018,TOR vs. DEN,L,239,103,40,87,46,11,41,26.8,12,12,100,7,34,41,28,11,5,17,21,-3
TOR,03/11/2019,TOR @ CLE,L,242,101,40,84,47.6,11,39,28.2,10,17,58.8,6,37,43,20,8,3,20,24,-25
TOR,12/22/2018,TOR @ PHI,L,239,101,37,95,38.9,10,40,25,17,19,89.5,8,33,41,17,5,2,15,24,-25
TOR,12/19/2018,TOR vs. IND,W,242,99,38,93,40.9,7,30,23.3,16,21,76.2,11,32,43,20,15,9,9,19,3
TOR,12/09/2018,TOR vs. MIL,L,238,99,39,94,41.5,15,44,34.1,6,7,85.7,11,34,45,24,6,11,11,21,-5
TOR,02/24/2019,TOR vs. ORL,L,240,98,38,91,41.8,11,28,39.3,11,14,78.6,6,36,42,30,6,2,13,20,-15
TOR,03/05/2019,TOR vs. HOU,L,241,95,37,89,41.6,9,32,28.1,12,16,75,16,31,47,16,1,5,13,15,-12
TOR,12/30/2018,TOR vs. CHI,W,239,95,34,92,37,9,33,27.3,18,20,90,17,35,52,17,5,8,11,15,6
TOR,11/20/2018,TOR @ ORL,W,240,93,39,87,44.8,9,34,26.5,6,8,75,6,37,43,23,7,5,16,19,2
TOR,01/31/2019,TOR vs. MIL,L,240,92,37,93,39.8,7,27,25.9,11,13,84.6,8,31,39,16,9,4,16,20,-13
TOR,12/28/2018,TOR @ ORL,L,240,87,28,95,29.5,12,34,35.3,19,24,79.2,14,27,41,18,4,10,11,21,-29
TOR,12/16/2018,TOR @ DEN,L,241,86,35,88,39.8,7,35,20,9,14,64.3,13,38,51,13,5,4,11,16,-9
